Title	URL	Assignees	Status	Labels
Implement an Initial Question Extraction Function	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/29	christianwielenberg, julioc-p	Feature Archive	Actual SP 05, SP 05, User Story
Extract the dataset from Hugging Face	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/16	YashodharPansuriya	Feature Archive	Actual SP 03, SP 03, User Story
Store Q&As in Hugging Face	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/33	YashodharPansuriya	Feature Archive	Actual SP 02, SP 05, User Story
Identify Webpages for the Kubernetes LLM dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/6	julioc-p	Feature Archive	Actual SP 03, SP 05, User Story
Research Q&A Pairs Pipeline	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/27	dnsch	Feature Archive	Actual SP 05, SP 03, User Story
Enhance Software Architecture Draft - Detail Machine Learning Pipeline	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/17	dnsch	Feature Archive	Actual SP 05, SP 05, User Story
Create a Report on LLM Research Findings	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/21	christianwielenberg	Feature Archive	Actual SP 03, SP 03, User Story
Extract Content from CNCF sources	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/7	anosh-ar	Feature Archive	Actual SP 05, SP 01, User Story
Conduct Largue Langage Base Model Selection Process	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/19	anosh-ar	Feature Archive	Actual SP 05, SP 05, User Story
Research Open-Source LLMs	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/18	julioc-p	Feature Archive	Actual SP 03, SP 03, User Story
Set Up Team Logo and request Team T-shirt	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/4	dnsch	Feature Archive	amos-homework
Identify Repositories for the Kubernetes LLM dataset	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/11	julioc-p	Feature Archive	Actual SP 05, SP 05, User Story
CI/CD pipeline for project	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/23	julioc-p	Feature Archive	Actual SP 03, SP 03
Create Software architecture draft	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/12	dnsch	Feature Archive	Actual SP 05, amos-homework, SP 05, User Story
Transform extracted data into a unified Format	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/8	YashodharPansuriya	Feature Archive	Actual SP 05, SP 05, User Story
Load data to Hugging Face	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/9	christianwielenberg	Feature Archive	Actual SP 02, SP 02, User Story
Monitoring of the ETL process by Logging	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/10	julioc-p	Feature Archive	Actual SP 02, SP 03, User Story
Create a Chatbot on HuggingFace	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/79	julioc-p	Feature Archive	Actual SP 03, SP 05, User Story
Create Demo video	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/107	julioc-p	In progress	amos-homework, SP 02
Finalize the documentation	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/120	christianwielenberg, dnsch	Awaiting review	SP 05, User Story
Test the UI and Deployment of Our Model	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/115	anosh-ar, julioc-p	Awaiting review	SP 08, User Story
Set Suitable Hyperparemeters for the LLM	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/114	anosh-ar	Awaiting review	SP 03, User Story
Prepare 1 - 2 Test Scenarios for the Demo Day	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/116	christianwielenberg, YashodharPansuriya	Awaiting review	SP 03, User Story
Benchmark the trained model against the base models and a competitor	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/91	christianwielenberg	Awaiting review	SP 05, User Story
Fine-tune LLM on Hetzner	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/99	christianwielenberg, dnsch, julioc-p, YashodharPansuriya	Awaiting review	SP 05, User Story
[Epic] Named Entity Recognition (NER) on Training Data			Product Backlog	
Annotate a Dataset for NER Trainning	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/67		Product Backlog	User Story
Develop and Train the NER Model	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/62		Product Backlog	User Story
Integrate NER Module with the Q&A Transformation Pipeline	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/46		Product Backlog	User Story
[Epic] Fine-Tune our LLM on Hetzner Environment			Product Backlog	
[Epic] Implement Data Collection Automation Pipeline			Feature Archive	
[Epic] Research and Select an Open LLM for CNCF-related knowledge			Feature Archive	
[Epic] Develop Q&A Pairs Transforming Pipeline			Feature Archive	
[Epic] Implement the Quantitative Evaluation			Feature Archive	
[Epic] Tidy up our datasets			Feature Archive	
[Epic] Implement Named Entity Recognition (NER) on training data			Feature Archive	
Define CNCF-related Entities and their Relationships	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/45		Feature Archive	User Story
Contact Kubernetes to verify the training data	https://github.com/amosproj/amos2024ss08-cloud-native-llm/issues/43		Product Backlog	User Story
-- FOR LATER IN THE FUTURE --			Product Backlog	
